pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
SLP412_b,SLP412_b,2,True,0.0011274451389908,0.0,0.0,0.0
SLP412_b,SLP412_b,3,True,0.0002442723489366,0.0,3.086553590492258e-07,0.0
SLP412_b,SLP412_b,4,True,9.66013758443296e-05,0.0,2.545873769577156e-07,0.0
SLP412_b,SLP412_b,5,True,4.523221286945045e-05,0.0,3.398374985863484e-07,0.0
CB0618,CB0618,1,True,0.0036469134502112,0.0,0.0,0.0
CB0618,CB0618,2,True,0.0020813879091292,0.0,0.0001011033382383,0.0
CB0618,CB0618,3,True,0.0064059169963002,0.0,0.0006868648342788,0.0
CB0618,CB0618,4,True,0.0017635829281061,0.0,0.0001765987253747,0.0
CB0618,CB0618,5,True,0.0026995853986591,0.0,0.0001224057050421,0.0
CB0619,CB0619,1,False,0.0,0.0,0.0,0.0
CB0619,CB0619,2,True,0.0007656117086298,0.0,1.971213714568876e-05,0.0
CB0619,CB0619,3,True,0.0005364009412005,0.0,6.4899077187874354e-06,0.0
CB0619,CB0619,4,True,0.0003559474134817,0.0,3.740984311662032e-06,0.0
CB0619,CB0619,5,True,0.0002956710522994,0.0,1.7913060901264544e-06,0.0
SLP059,SLP059,1,False,0.0,0.0,0.0,0.0
SLP059,SLP059,2,True,0.0022901305928826,0.0,0.0,0.0
SLP059,SLP059,3,True,0.0003500200109556,0.0,0.0,0.0
SLP059,SLP059,4,True,0.0001508204150013,0.0,0.0,0.0
SLP059,SLP059,5,True,8.060041000135243e-05,0.0,0.0,0.0
BM_Vib,BM_Vib,1,True,0.2269498705863952,0.2269498705863952,0.0,0.0
BM_Vib,BM_Vib,2,True,0.1209531128406524,0.0576462112367153,0.0,0.0
BM_Vib,BM_Vib,3,True,0.0533905625343322,0.0155092123895883,0.0,0.0
BM_Vib,BM_Vib,4,True,0.0353135094046592,0.0045103481970727,0.0,0.0
BM_Vib,BM_Vib,5,True,0.025137934833765,0.0014508279273286,0.0,0.0
MTe05,MTe05,1,True,0.0101479860022664,0.0101479860022664,0.003891181666404,0.003891181666404
MTe05,MTe05,2,True,0.0067671593278646,0.002781618386507,0.0017152715008705,6.792843487346545e-05
MTe05,MTe05,3,True,0.0025105096865445,0.0003888026694767,0.0002777607296593,3.350922952449764e-06
MTe05,MTe05,4,True,0.0008287502569146,6.378845864674076e-05,0.0001811247057048,1.66237532539526e-06
MTe05,MTe05,5,True,0.0004914453020319,1.2572621926665306e-05,0.0001528707362012,1.030977273330791e-06
CB0620,CB0620,1,True,0.0011210762895643,0.0,0.0,0.0
CB0620,CB0620,2,True,0.0050524929538369,0.0,0.0012607278767973,0.0
CB0620,CB0620,3,True,0.0010368275688961,0.0,0.000196988650714,0.0
CB0620,CB0620,4,True,0.0013049551052972,0.0,0.0002060436963802,0.0
CB0620,CB0620,5,True,0.0009058128343895,0.0,0.000113089045044,0.0
CB3892b,CB3892b,1,False,0.0,0.0,0.0,0.0
CB3892b,CB3892b,2,True,0.0041089286096394,0.0,0.0006365632871165,0.0
