pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,DNge120,4,False,False,False,False,False,False
AN_GNG_125,DNge120,5,False,False,False,False,False,False
AN_GNG_125,CB2632,2,False,False,False,False,False,False
AN_GNG_125,CB2632,3,False,False,False,False,False,False
AN_GNG_125,CB2632,4,False,False,False,False,False,False
AN_GNG_125,CB2632,5,False,False,False,False,False,False
AN_GNG_125,CB1834,2,False,False,False,False,False,False
AN_GNG_125,CB1834,3,False,False,False,False,False,False
AN_GNG_125,CB1834,4,False,False,False,False,False,False
AN_GNG_125,CB1834,5,False,False,False,False,False,False
AN_GNG_125,LC26,2,False,False,False,False,False,False
AN_GNG_125,LC26,3,False,False,False,False,False,False
AN_GNG_125,LC26,4,False,False,False,False,False,False
AN_GNG_125,LC26,5,False,False,False,False,False,False
AN_GNG_125,DNa05,2,False,False,False,False,False,False
AN_GNG_125,DNa05,3,False,False,False,False,False,False
AN_GNG_125,DNa05,4,False,False,False,False,False,False
AN_GNG_125,DNa05,5,False,False,False,False,False,False
AN_GNG_125,DNde004,2,False,False,False,False,False,False
AN_GNG_125,DNde004,3,False,False,False,False,False,False
AN_GNG_125,DNde004,4,False,False,False,False,False,False
AN_GNG_125,DNde004,5,False,False,False,False,False,False
AN_GNG_125,AN_IPS_GNG_3,2,False,False,False,False,False,False
AN_GNG_125,AN_IPS_GNG_3,3,False,False,False,False,False,False
AN_GNG_125,AN_IPS_GNG_3,4,False,False,False,False,False,False
AN_GNG_125,AN_IPS_GNG_3,5,False,False,False,False,False,False
AN_GNG_125,CB2747,2,False,False,False,False,False,False
AN_GNG_125,CB2747,3,False,False,False,False,False,False
AN_GNG_125,CB2747,4,False,False,False,False,False,False
AN_GNG_125,CB2747,5,False,False,False,False,False,False
AN_GNG_125,CB0517,2,False,False,False,False,False,False
AN_GNG_125,CB0517,3,False,False,False,False,False,False
AN_GNG_125,CB0517,4,False,False,False,False,False,False
AN_GNG_125,CB0517,5,False,False,False,False,False,False
AN_GNG_125,MeMe_e05,2,False,False,False,False,False,False
AN_GNG_125,MeMe_e05,3,False,False,False,False,False,False
AN_GNG_125,MeMe_e05,4,False,False,False,False,False,False
AN_GNG_125,MeMe_e05,5,False,False,False,False,False,False
AN_GNG_125,CL083,2,False,False,False,False,False,False
AN_GNG_125,CL083,3,False,False,False,False,False,False
AN_GNG_125,CL083,4,False,False,False,False,False,False
