,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
79168,720575940608614155,Mi13,right,gaba,optic,ME,,2100,-1
79169,720575940624631224,T4b,right,acetylcholine,optic,ME>LOP,,23420,1
79170,720575940625678606,T4a,right,acetylcholine,optic,ME>LOP,,25160,1
79171,720575940647120419,T4d,right,acetylcholine,optic,ME>LOP,,47375,1
79172,720575940632433000,T4b,right,acetylcholine,optic,ME>LOP,,37641,1
79173,720575940606684802,T2a,right,acetylcholine,optic,ME>LO,,1234,1
79174,720575940611969778,T4a,right,acetylcholine,optic,ME>LOP,,4252,1
79175,720575940635220148,T4b,right,acetylcholine,optic,ME>LOP,,40782,1
79178,720575940654444961,C2,right,gaba,optic,ME>LA,,48070,-1
79179,720575940612309966,C2,right,gaba,optic,ME>LA,,4566,-1
79180,720575940625414288,T2a,right,acetylcholine,optic,ME>LO,,24725,1
79181,720575940620191425,T2a,right,acetylcholine,optic,ME>LO,,14533,1
79182,720575940625703975,T4b,right,acetylcholine,optic,ME>LOP,,25204,1
79183,720575940628021834,T2a,right,acetylcholine,optic,ME>LO,,29803,1
79185,720575940614864095,T2,right,acetylcholine,optic,ME>LO,,7488,1
79186,720575940622718344,Mi1,right,acetylcholine,optic,ME,columnar,19652,1
79188,720575940633614748,Tm2,right,acetylcholine,optic,ME>LO,,39296,1
79189,720575940636114277,720575940636114277,right,acetylcholine,optic,ME>LO,,41622,1
79191,720575940638525150,L1,right,glutamate,optic,LA>ME,L1-5,43512,-1
79192,720575940615226274,Mi9,right,glutamate,optic,ME,,7917,-1
79193,720575940640212413,Mi1,right,acetylcholine,optic,ME,columnar,44872,1
79195,720575940621615198,T2,right,acetylcholine,optic,ME>LO,,17417,1
79196,720575940615908353,Mi1,right,acetylcholine,optic,ME,columnar,8674,1
79197,720575940638975054,Mi9,right,glutamate,optic,ME,,43887,-1
79198,720575940635986807,T2,right,acetylcholine,optic,ME>LO,,41504,1
79200,720575940634653079,T2,right,acetylcholine,optic,ME>LO,,40248,1
79201,720575940621999393,T2a,right,acetylcholine,optic,ME>LO,,18222,1
79202,720575940612437234,Mi9,right,glutamate,optic,ME,,4709,-1
79203,720575940628107881,Mi1,right,acetylcholine,optic,ME,columnar,30009,1
79204,720575940621616734,T5a,right,acetylcholine,optic,LO>LOP,,17424,1
79205,720575940634636895,Mi9,right,glutamate,optic,ME,,40233,-1
79206,720575940637534349,Tm2,right,acetylcholine,optic,ME>LO,,42689,1
79207,720575940624459559,L2,right,acetylcholine,optic,LA>ME,L1-5,23126,1
79208,720575940636116581,720575940636116581,right,glutamate,optic,LOP,,41626,-1
79210,720575940616906508,Mi9,right,glutamate,optic,ME,,9882,-1
79211,720575940646100003,Dm2,right,acetylcholine,optic,ME,,47098,1
79213,720575940620939696,L5,right,acetylcholine,optic,LA>ME,L1-5,16034,1
79214,720575940618860445,Mi1,right,acetylcholine,optic,ME,columnar,12718,1
79215,720575940645138632,T2a,right,acetylcholine,optic,ME>LO,,46769,1
79216,720575940624631530,TmY4,right,acetylcholine,optic,ME>LO.LOP,,23421,1
79218,720575940608071004,T3,right,acetylcholine,optic,ME>LO,,1842,1
79220,720575940640745587,C2,right,gaba,optic,ME>LA,,45259,-1
79222,720575940616864571,Mi9,right,glutamate,optic,ME,,9818,-1
79223,720575940608327435,T2,right,acetylcholine,optic,ME>LO,,1969,1
79239,720575940633386721,T3,right,acetylcholine,optic,ME>LO,,39022,1
79242,720575940616075570,L3,right,acetylcholine,optic,LA>ME,L1-5,8848,1
79243,720575940614623634,C3,right,gaba,optic,ME>LA,,7148,-1
79244,720575940649890425,T4d,right,acetylcholine,optic,ME>LOP,,47745,1
79250,720575940622990118,Tm1,right,acetylcholine,optic,ME>LO,,20186,1
79251,720575940621609989,T4d,right,acetylcholine,optic,ME>LOP,,17407,1
79252,720575940610649810,T5c,right,acetylcholine,optic,LO>LOP,,3235,1
79253,720575940613321202,Mi15,right,acetylcholine,optic,ME,,5762,1
