,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
583,13A,intrinsic neuron,gaba,T2,,IN13A013,IN13A013,LHS,IN13A013_T2_L,IN13A013_T2_L,-1,6299
585,,sensory neuron,acetylcholine,,LHS,SNxx23,SNxx23,,SNxx23_AbNT_L,SNxx23_AbNT_L,1,11603
586,16B,intrinsic neuron,glutamate,T2,,IN16B079,IN16B079,LHS,IN16B079_T2_L,IN16B079_T2_L,-1,7452
587,21A,intrinsic neuron,glutamate,T2,,IN21A035,IN21A035,RHS,IN21A035_T2_R,IN21A035_T2_R,-1,8950
588,00A,intrinsic neuron,gaba,T2,,IN00A064,IN00A064,Midline,IN00A064_T2_M,IN00A064_T2_M,-1,2580
589,,descending neuron,acetylcholine,,LHS,DNxn135,DNxn135,,DNxn135_CvC_L,DNxn135_CvC_L,1,2273
590,,sensory neuron,acetylcholine,,RHS,SNta28,SNta28,,SNta28_MetaLN_R,SNta28_MetaLN_R,-1,11428
591,13A,intrinsic neuron,gaba,T2,,IN13A001,IN13A001,RHS,IN13A001_T2_R,IN13A001_T2_R,-1,6237
592,21A,intrinsic neuron,acetylcholine,T1,,IN21A017,IN21A017,RHS,IN21A017_T1_R,IN21A017_T1_R,1,8881
593,15B,motor neuron,glutamate,T1,,MNfl15,ltm2-femur MN,LHS,MNfl15_ProLN_L,MNfl15_ProLN_L,-1,10626
594,,sensory neuron,acetylcholine,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,11436
595,01B,intrinsic neuron,gaba,T2,,IN01B075,IN01B075,LHS,IN01B075_T2_L,IN01B075_T2_L,-1,3072
596,06A,intrinsic neuron,gaba,T2,,IN06A122,IN06A122,RHS,IN06A122_T2_R,IN06A122_T2_R,-1,4449
597,,sensory neuron,acetylcholine,,RHS,SNpp17,SNpp17,,SNpp17_ProCN_R,SNpp17_ProCN_R,1,11178
