,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
218,14A,intrinsic neuron,glutamate,T2,,IN14A011,IN14A011,LHS,IN14A011_T2_L,IN14A011_T2_L,-1,6899
219,03B,motor neuron,acetylcholine,T2,,MNwm15,"DVMn 2a, b",LHS,MNwm15_MesoAN_L,MNwm15_MesoAN_L,-1,10949
220,TBD,intrinsic neuron,gaba,A9,,INXXX336,INXXX336,LHS,INXXX336_A9_L,INXXX336_A9_L,-1,10074
221,,sensory neuron,acetylcholine,,LHS,SNta02,SNta02,,SNta02_PDMN_L,SNta02_PDMN_L,1,11353
222,,descending neuron,acetylcholine,,RHS,DNxn123,DNxn123,,DNxn123_CvC_R,DNxn123_CvC_R,1,2251
223,20B.21B.22B,motor neuron,glutamate,T1,,MNfl06,Sternal posterior rotator MN,RHS,MNfl06_ProAN_R,MNfl06_ProAN_R,-1,10611
224,19A,intrinsic neuron,gaba,T2,,IN19A051,IN19A051,RHS,IN19A051_T2_R,IN19A051_T2_R,-1,8121
225,19B,intrinsic neuron,acetylcholine,T3,,IN19B050,IN19B050,RHS,IN19B050_T3_R,IN19B050_T3_R,1,8407
226,11B,intrinsic neuron,gaba,T2,,IN11B020,IN11B020,LHS,IN11B020_T2_L,IN11B020_T2_L,-1,5786
227,19A,intrinsic neuron,acetylcholine,T3,,IN19A034,IN19A034,RHS,IN19A034_T3_R,IN19A034_T3_R,1,8091
228,21X,efferent neuron,glutamate,T1,,EN21X001,EN21X001,RHS,EN21X001_T1_R,EN21X001_T1_R,-1,2436
229,,sensory neuron,glutamate,,LHS,SNpp45,SNpp45,,SNpp45_MesoLN_L,SNpp45_MesoLN_L,1,11254
230,13B,intrinsic neuron,glutamate,T3,,IN13B023,IN13B023,LHS,IN13B023_T3_L,IN13B023_T3_L,-1,6569
231,,sensory neuron,glutamate,,RHS,SNta39,SNta39,,SNta39_MesoLN_R,SNta39_MesoLN_R,-1,11485
232,,sensory neuron,acetylcholine,,RHS,SNta21,SNta21,,SNta21_ProLN_R,SNta21_ProLN_R,-1,11398
233,,sensory neuron,glutamate,,RHS,SNch12,SNch12,,SNch12_ADMN_R,SNch12_ADMN_R,1,11136
234,,sensory neuron,glutamate,,LHS,SNta38,SNta38,,SNta38_MesoLN_L,SNta38_MesoLN_L,-1,11478
235,19B,ascending neuron,acetylcholine,A3,RHS,AN19B051,AN19B051,LHS,AN19B051_A3_L,AN19B051_A3_L,1,1130
236,02A,intrinsic neuron,glutamate,T1,,IN02A053,IN02A053,LHS,IN02A053_T1_L,IN02A053_T1_L,-1,3265
237,,sensory neuron,glutamate,,RHS,SNch05,SNch05,,SNch05_ProLN_R,SNch05_ProLN_R,-1,11104
238,13A,intrinsic neuron,gaba,T2,,IN13A023,IN13A023,LHS,IN13A023_T2_L,IN13A023_T2_L,-1,6343
239,06A,ascending neuron,gaba,T1,LHS,AN06A092,AN06A092,RHS,AN06A092_T1_R,AN06A092_T1_R,-1,290
240,12B,intrinsic neuron,gaba,T3,,IN12B032,IN12B032,RHS,IN12B032_T3_R,IN12B032_T3_R,-1,6045
241,14A,intrinsic neuron,glutamate,T3,,IN14A052,IN14A052,RHS,IN14A052_T3_R,IN14A052_T3_R,-1,7056
242,01B,intrinsic neuron,gaba,T1,,IN01B051,IN01B051,LHS,IN01B051_T1_L,IN01B051_T1_L,-1,3010
243,16B,intrinsic neuron,glutamate,T3,,IN16B106,IN16B106,RHS,IN16B106_T3_R,IN16B106_T3_R,-1,7521
244,13A,intrinsic neuron,gaba,T1,,IN13A055,IN13A055,RHS,IN13A055_T1_R,IN13A055_T1_R,-1,6422
245,,sensory neuron,glutamate,,LHS,SNpp39,SNpp39,,SNpp39_MetaLN_L,SNpp39_MetaLN_L,-1,11225
246,03B,ascending neuron,gaba,T2,LHS,AN03B009,AN03B009,RHS,AN03B009_T2_R,AN03B009_T2_R,-1,76
247,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_MetaLN_L,SNxxxx_MetaLN_L,-1,11651
248,TBD,motor neuron,glutamate,A5,,MNad52,MNad52,LHS,MNad52_AbN4_L,MNad52_AbN4_L,-1,10571
249,01B,intrinsic neuron,gaba,T1,,IN01B008,IN01B008,LHS,IN01B008_T1_L,IN01B008_T1_L,-1,2875
250,06A,intrinsic neuron,gaba,A1,,IN06A114,IN06A114,RHS,IN06A114_A1_R,IN06A114_A1_R,-1,4423
251,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A003,IN20A.22A003,LHS,IN20A.22A003_T1_L,IN20A.22A003_T1_L,1,8506
252,00A,intrinsic neuron,glutamate,T1,,IN00A060,IN00A060,Midline,IN00A060_T1_M,IN00A060_T1_M,-1,2574
253,,sensory neuron,acetylcholine,,RHS,SNxx23,SNxx23,,SNxx23_AbNT_R,SNxx23_AbNT_R,1,11604
254,06A,intrinsic neuron,glutamate,T2,,IN06A011,IN06A011,LHS,IN06A011_T2_L,IN06A011_T2_L,-1,4207
255,08A,intrinsic neuron,glutamate,T2,,IN08A026,IN08A026,LHS,IN08A026_T2_L,IN08A026_T2_L,-1,4899
256,07B,ascending neuron,acetylcholine,T3,LHS,AN07B043,AN07B043,RHS,AN07B043_T3_R,AN07B043_T3_R,1,410
257,03A,intrinsic neuron,acetylcholine,T1,,IN03A088,IN03A088,RHS,IN03A088_T1_R,IN03A088_T1_R,1,3574
258,04B,ascending neuron,acetylcholine,T1,RHS,AN04B051,AN04B051,RHS,AN04B051_T1_R,AN04B051_T1_R,1,114
259,,sensory neuron,acetylcholine,,RHS,SNpp29,SNpp29,,SNpp29_ADMN_R,SNpp29_ADMN_R,1,11204
260,11A,intrinsic neuron,acetylcholine,T2,,IN11A038,GFC3,LHS,IN11A038_T2_L,IN11A038_T2_L,1,5733
262,16B,intrinsic neuron,glutamate,T1,,IN16B100,IN16B100,LHS,IN16B100_T1_L,IN16B100_T1_L,-1,7506
263,16B,motor neuron,glutamate,T1,,MNnm06,FNM2,LHS,MNnm06_DProN_L,MNnm06_DProN_L,-1,10925
265,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,11342
266,12B,intrinsic neuron,gaba,T3,,IN12B056,IN12B056,LHS,IN12B056_T3_L,IN12B056_T3_L,-1,6134
267,19B,intrinsic neuron,acetylcholine,A1,,IN19B089,IN19B089,LHS,IN19B089_A1_L,IN19B089_A1_L,1,8476
268,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A077,IN20A.22A077,LHS,IN20A.22A077_T2_L,IN20A.22A077_T2_L,1,8734
269,01B,intrinsic neuron,gaba,T3,,IN01B027,IN01B027,RHS,IN01B027_T3_R,IN01B027_T3_R,-1,2951
270,,sensory neuron,acetylcholine,,LHS,SNpp06,SNpp06,,SNpp06_ADMN_L,SNpp06_ADMN_L,1,11155
271,14A,intrinsic neuron,glutamate,T1,,IN14A015,IN14A015,LHS,IN14A015_T1_L,IN14A015_T1_L,-1,6921
272,19A,intrinsic neuron,gaba,T2,,IN19A042,IN19A042,RHS,IN19A042_T2_R,IN19A042_T2_R,-1,8101
273,,descending neuron,acetylcholine,,LHS,DNut009,DNg02,,DNut009_CvC_L,DNut009_CvC_L,1,1636
274,,sensory neuron,glutamate,,LHS,SNch11,SNch11,,SNch11_ProLN_L,SNch11_ProLN_L,-1,11133
275,TBD,ascending neuron,acetylcholine,T1,RHS,ANXXX218,ANXXX218,LHS,ANXXX218_T1_L,ANXXX218_T1_L,1,1392
276,06B,intrinsic neuron,gaba,T2,,IN06B066,IN06B066,LHS,IN06B066_T2_L,IN06B066_T2_L,-1,4598
277,12A,intrinsic neuron,acetylcholine,T1,,IN12A062,IN12A062,LHS,IN12A062_T1_L,IN12A062_T1_L,1,5924
278,16B,intrinsic neuron,glutamate,T3,,IN16B033,IN16B033,RHS,IN16B033_T3_R,IN16B033_T3_R,-1,7336
279,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A089,IN20A.22A089,LHS,IN20A.22A089_T2_L,IN20A.22A089_T2_L,1,8770
280,03A,intrinsic neuron,acetylcholine,T2,,IN03A033,IN03A033,RHS,IN03A033_T2_R,IN03A033_T2_R,1,3426
281,03A,intrinsic neuron,acetylcholine,T2,,IN03A052,IN03A052,RHS,IN03A052_T2_R,IN03A052_T2_R,1,3474
282,05B,ascending neuron,gaba,A3,LHS,AN05B053,AN05B053,RHS,AN05B053_A3_R,AN05B053_A3_R,-1,177
283,11A,intrinsic neuron,glutamate,T2,,IN11A019,IN11A019,RHS,IN11A019_T2_R,IN11A019_T2_R,-1,5691
284,,sensory neuron,acetylcholine,,RHS,SNxx14,SNxx14,,SNxx14_AbN3_R,SNxx14_AbN3_R,1,11569
286,,sensory neuron,glutamate,,LHS,SNxx33,SNxx33,,SNxx33_ProLN_L,SNxx33_ProLN_L,-1,11641
287,00A,intrinsic neuron,gaba,T2,,IN00A063,IN00A063,Midline,IN00A063_T2_M,IN00A063_T2_M,-1,2579
288,,sensory neuron,acetylcholine,,LHS,SNta28,SNta28,,SNta28_MesoLN_L,SNta28_MesoLN_L,1,11425
289,03A,intrinsic neuron,acetylcholine,T2,,IN03A007,IN03A007,LHS,IN03A007_T2_L,IN03A007_T2_L,1,3343
290,12B,intrinsic neuron,gaba,T3,,IN12B042,IN12B042,RHS,IN12B042_T3_R,IN12B042_T3_R,-1,6099
292,,sensory neuron,glutamate,,RHS,SNch06,SNch06,,SNch06_MesoLN_R,SNch06_MesoLN_R,-1,11106
293,06B,intrinsic neuron,gaba,T2,,IN06B059,IN06B059,LHS,IN06B059_T2_L,IN06B059_T2_L,-1,4582
294,03A,intrinsic neuron,acetylcholine,T1,,IN03A013,IN03A013,LHS,IN03A013_T1_L,IN03A013_T1_L,1,3361
295,06B,intrinsic neuron,gaba,T2,,IN06B013,IN06B013,LHS,IN06B013_T2_L,IN06B013_T2_L,-1,4494
296,TBD,intrinsic neuron,acetylcholine,A2,,INXXX129,INXXX129,LHS,INXXX129_A2_L,INXXX129_A2_L,1,9660
297,10B,ascending neuron,acetylcholine,T1,RHS,AN10B031,AN10B031,LHS,AN10B031_T1_L,AN10B031_T1_L,1,808
298,TBD,motor neuron,,A9,,MNad50,MNad50,LHS,MNad50_AbNT,MNad50_AbNT,-1,10567
299,17A,intrinsic neuron,acetylcholine,T2,,IN17A090,IN17A090,RHS,IN17A090_T2_R,IN17A090_T2_R,1,7753
300,,sensory neuron,glutamate,,LHS,SNta21,SNta21,,SNta21_MetaLN_L,SNta21_MetaLN_L,-1,11395
301,04B,intrinsic neuron,acetylcholine,T1,,IN04B104,IN04B104,RHS,IN04B104_T1_R,IN04B104_T1_R,1,4020
302,06A,intrinsic neuron,gaba,A4,,IN06A117,IN06A117,RHS,IN06A117_A4_R,IN06A117_A4_R,-1,4435
303,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A021,IN20A.22A021,RHS,IN20A.22A021_T2_R,IN20A.22A021_T2_R,1,8567
304,05B,ascending neuron,gaba,T1,LHS,AN05B006,AN05B006,RHS,AN05B006_T1_R,AN05B006_T1_R,-1,120
305,TBD,intrinsic neuron,gaba,A9,,INXXX351,INXXX351,RHS,INXXX351_A9_R,INXXX351_A9_R,-1,10108
306,,descending neuron,acetylcholine,,RHS,DNut011,DNg03,,DNut011_CvC_R,DNut011_CvC_R,1,1641
307,06B,intrinsic neuron,gaba,T1,,IN06B056,IN06B056,RHS,IN06B056_T1_R,IN06B056_T1_R,-1,4577
308,06A,intrinsic neuron,gaba,A4,,IN06A066,IN06A066,LHS,IN06A066_A4_L,IN06A066_A4_L,-1,4320
309,03B,intrinsic neuron,gaba,T1,,IN03B080,IN03B080,LHS,IN03B080_T1_L,IN03B080_T1_L,-1,3743
310,04B,intrinsic neuron,acetylcholine,T2,,IN04B108,IN04B108,LHS,IN04B108_T2_L,IN04B108_T2_L,1,4031
311,,sensory neuron,acetylcholine,,RHS,SNpp28,SNpp28,,SNpp28_ADMN_R,SNpp28_ADMN_R,1,11202
312,,descending neuron,acetylcholine,,RHS,DNxn030,DNp12,,DNxn030_CvC_R,DNxn030_CvC_R,1,2069
313,07B,intrinsic neuron,acetylcholine,A1,,IN07B102,IN07B102,RHS,IN07B102_A1_R,IN07B102_A1_R,1,4818
314,12B,intrinsic neuron,gaba,T2,,IN12B074,IN12B074,LHS,IN12B074_T2_L,IN12B074_T2_L,-1,6195
316,06A,intrinsic neuron,gaba,T2,,IN06A003,IN06A003,RHS,IN06A003_T2_R,IN06A003_T2_R,-1,4196
317,,sensory neuron,acetylcholine,,RHS,SNta02,SNta02,,SNta02_PDMN_R,SNta02_PDMN_R,1,11354
318,23B,intrinsic neuron,acetylcholine,A1,,IN23B009,IN23B009,LHS,IN23B009_A1_L,IN23B009_A1_L,1,9154
319,03A,intrinsic neuron,acetylcholine,T1,,IN03A084,IN03A084,LHS,IN03A084_T1_L,IN03A084_T1_L,1,3563
320,09A,intrinsic neuron,gaba,T3,,IN09A057,IN09A057,RHS,IN09A057_T3_R,IN09A057_T3_R,-1,5295
321,14A,intrinsic neuron,glutamate,T1,,IN14A109,IN14A109,LHS,IN14A109_T1_L,IN14A109_T1_L,-1,7200
322,11B,intrinsic neuron,gaba,T2,,IN11B004,IN11B004,RHS,IN11B004_T2_R,IN11B004_T2_R,-1,5757
323,01B,intrinsic neuron,gaba,T3,,IN01B042,IN01B042,LHS,IN01B042_T3_L,IN01B042_T3_L,-1,2992
324,12A,intrinsic neuron,acetylcholine,T2,,IN12A015,IN12A015,LHS,IN12A015_T2_L,IN12A015_T2_L,1,5832
325,TBD,motor neuron,glutamate,T1,,MNfl44,Fe reductor MN,RHS,MNfl44_ProLN_R,MNfl44_ProLN_R,-1,10683
326,,sensory neuron,glutamate,,,SNxxxx,SNxxxx,,SNxxxx_ProLN_R,SNxxxx_ProLN_R,-1,11654
327,,sensory neuron,glutamate,,RHS,SNta38,SNta38,,SNta38_MetaLN_R,SNta38_MetaLN_R,-1,11481
328,05B,intrinsic neuron,gaba,T3,,IN05B003,IN05B003,LHS,IN05B003_T3_L,IN05B003_T3_L,-1,4055
329,,sensory neuron,glutamate,,RHS,SNpp25,SNpp25,,SNpp25_DMetaN_R,SNpp25_DMetaN_R,-1,11196
330,12A,intrinsic neuron,acetylcholine,T1,,IN12A041,IN12A041,LHS,IN12A041_T1_L,IN12A041_T1_L,1,5884
331,14A,intrinsic neuron,glutamate,T1,,IN14A056,IN14A056,RHS,IN14A056_T1_R,IN14A056_T1_R,-1,7064
332,19A,intrinsic neuron,gaba,T2,,IN19A083,IN19A083,RHS,IN19A083_T2_R,IN19A083_T2_R,-1,8192
333,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A050,IN20A.22A050,RHS,IN20A.22A050_T2_R,IN20A.22A050_T2_R,1,8659
334,10B,ascending neuron,acetylcholine,T3,RHS,AN10B024,AN10B024,LHS,AN10B024_T3_L,AN10B024_T3_L,1,792
335,TBD,intrinsic neuron,gaba,A1,,INXXX146,INXXX146,RHS,INXXX146_A1_R,INXXX146_A1_R,-1,9679
337,01B,intrinsic neuron,gaba,T2,,IN01B095,IN01B095,LHS,IN01B095_T2_L,IN01B095_T2_L,-1,3119
338,18B,intrinsic neuron,acetylcholine,T3,,IN18B008,IN18B008,RHS,IN18B008_T3_R,IN18B008_T3_R,1,7841
339,00A,intrinsic neuron,gaba,A4,,IN00A027,IN00A027,Midline,IN00A027_A4_M,IN00A027_A4_M,-1,2521
340,13B,intrinsic neuron,gaba,T1,,IN13B056,IN13B056,RHS,IN13B056_T1_R,IN13B056_T1_R,-1,6699
341,14A,intrinsic neuron,glutamate,T3,,IN14A090,IN14A090,LHS,IN14A090_T3_L,IN14A090_T3_L,-1,7161
342,12B,intrinsic neuron,gaba,T2,,IN12B053,IN12B053,LHS,IN12B053_T2_L,IN12B053_T2_L,-1,6130
343,21A,intrinsic neuron,acetylcholine,T1,,IN21A010,IN21A010,RHS,IN21A010_T1_R,IN21A010_T1_R,1,8837
344,11B,intrinsic neuron,gaba,T3,,IN11B013,IN11B013,RHS,IN11B013_T3_R,IN11B013_T3_R,-1,5771
345,04B,intrinsic neuron,acetylcholine,T3,,IN04B068,IN04B068,RHS,IN04B068_T3_R,IN04B068_T3_R,1,3926
346,19A,intrinsic neuron,gaba,A4,,IN19A099,IN19A099,RHS,IN19A099_A4_R,IN19A099_A4_R,-1,8238
348,,sensory neuron,acetylcholine,,LHS,SNta18,SNta18,,SNta18_ADMN_L,SNta18_ADMN_L,1,11379
351,,sensory neuron,glutamate,,RHS,SNta32,SNta32,,SNta32_MetaLN_R,SNta32_MetaLN_R,-1,11453
352,07B,intrinsic neuron,acetylcholine,T3,,IN07B039,IN07B039,LHS,IN07B039_T3_L,IN07B039_T3_L,1,4731
353,13B,intrinsic neuron,gaba,T1,,IN13B026,IN13B026,LHS,IN13B026_T1_L,IN13B026_T1_L,-1,6579
354,TBD,ascending neuron,gaba,T1,RHS,ANXXX130,ANXXX130,RHS,ANXXX130_T1_R,ANXXX130_T1_R,-1,1318
355,03A,intrinsic neuron,acetylcholine,T3,,IN03A025,IN03A025,RHS,IN03A025_T3_R,IN03A025_T3_R,1,3404
356,,sensory neuron,acetylcholine,,RHS,SNta37,SNta37,,SNta37_MetaLN_R,SNta37_MetaLN_R,1,11475
357,,descending neuron,acetylcholine,,RHS,DNxn058,DNg57,,DNxn058_CvC_R,DNxn058_CvC_R,1,2122
358,,sensory neuron,acetylcholine,,RHS,SNch02,SNch02,,SNch02_ADMN_R,SNch02_ADMN_R,1,11094
359,23B,intrinsic neuron,acetylcholine,T2,,IN23B089,IN23B089,RHS,IN23B089_T2_R,IN23B089_T2_R,1,9459
360,08B,intrinsic neuron,acetylcholine,T2,,IN08B078,IN08B078,RHS,IN08B078_T2_R,IN08B078_T2_R,1,5042
361,06B,intrinsic neuron,gaba,T1,,IN06B067,IN06B067,LHS,IN06B067_T1_L,IN06B067_T1_L,-1,4602
363,,sensory ascending,acetylcholine,,RHS,SApp03,SApp03,,SApp03_DMetaN_R,SApp03_DMetaN_R,1,11024
364,TBD,ascending neuron,acetylcholine,A7,RHS,ANXXX116,ANXXX116,RHS,ANXXX116_A7_R,ANXXX116_A7_R,1,1310
365,18B,ascending neuron,acetylcholine,T3,RHS,AN18B019,AN18B019,LHS,AN18B019_T3_L,AN18B019_T3_L,1,1048
366,,descending neuron,acetylcholine,,LHS,DNad006,DNad006,,DNad006_CvC_L,DNad006_CvC_L,1,1443
367,21A,intrinsic neuron,glutamate,T3,,IN21A047,IN21A047,RHS,IN21A047_T3_R,IN21A047_T3_R,-1,8992
368,10B,ascending neuron,acetylcholine,T3,RHS,AN10B034,AN10B034,LHS,AN10B034_T3_L,AN10B034_T3_L,1,818
369,,sensory ascending,acetylcholine,,RHS,SApp15,SApp15,,SApp15_DMetaN_R,SApp15_DMetaN_R,1,11048
370,14A,intrinsic neuron,glutamate,T3,,IN14A120,IN14A120,RHS,IN14A120_T3_R,IN14A120_T3_R,-1,7243
371,17A,intrinsic neuron,acetylcholine,T3,,IN17A052,IN17A052,LHS,IN17A052_T3_L,IN17A052_T3_L,1,7676
372,,sensory neuron,glutamate,,RHS,SNpp47,SNpp47,,SNpp47_MetaLN_R,SNpp47_MetaLN_R,-1,11268
373,03B,intrinsic neuron,gaba,A1,,IN03B055,IN03B055,RHS,IN03B055_A1_R,IN03B055_A1_R,-1,3692
374,,sensory neuron,acetylcholine,,RHS,SNta14,SNta14,,SNta14_ADMN_R,SNta14_ADMN_R,1,11378
375,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A090,IN20A.22A090,LHS,IN20A.22A090_T3_L,IN20A.22A090_T3_L,1,8772
376,06A,intrinsic neuron,gaba,T3,,IN06A132,IN06A132,LHS,IN06A132_T3_L,IN06A132_T3_L,-1,4468
377,18B,intrinsic neuron,acetylcholine,T3,,IN18B040,IN18B040,LHS,IN18B040_T3_L,IN18B040_T3_L,1,7908
378,21A,intrinsic neuron,glutamate,T3,,IN21A071,IN21A071,LHS,IN21A071_T3_L,IN21A071_T3_L,-1,9044
379,,sensory neuron,acetylcholine,,RHS,SNta43,SNta43,,SNta43_MetaLN_R,SNta43_MetaLN_R,1,11509
380,19A,intrinsic neuron,gaba,T3,,IN19A002,IN19A002,RHS,IN19A002_T3_R,IN19A002_T3_R,-1,7953
381,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A048,IN20A.22A048,RHS,IN20A.22A048_T3_R,IN20A.22A048_T3_R,1,8651
382,01B,intrinsic neuron,gaba,T1,,IN01B069,IN01B069,RHS,IN01B069_T1_R,IN01B069_T1_R,-1,3062
383,,sensory neuron,acetylcholine,,LHS,SNta04,SNta04,,SNta04_ADMN_L,SNta04_ADMN_L,1,11357
384,,descending neuron,glutamate,,RHS,DNxl100,DNxl100,,DNxl100_CvC_R,DNxl100_CvC_R,-1,1941
385,08B,ascending neuron,acetylcholine,T3,LHS,AN08B100,AN08B100,RHS,AN08B100_T3_R,AN08B100_T3_R,1,596
386,10B,intrinsic neuron,acetylcholine,T1,,IN10B057,IN10B057,RHS,IN10B057_T1_R,IN10B057_T1_R,1,5630
387,19A,intrinsic neuron,gaba,T2,,IN19A111,IN19A111,LHS,IN19A111_T2_L,IN19A111_T2_L,-1,8268
388,,sensory neuron,glutamate,,RHS,SNpp50,SNpp50,,SNpp50_ProLN_R,SNpp50_ProLN_R,-1,11284
389,09A,intrinsic neuron,gaba,T1,,IN09A002,IN09A002,LHS,IN09A002_T1_L,IN09A002_T1_L,-1,5075
390,19A,intrinsic neuron,gaba,T3,,IN19A106,IN19A106,RHS,IN19A106_T3_R,IN19A106_T3_R,-1,8259
391,13A,intrinsic neuron,glutamate,T3,,IN13A068,IN13A068,LHS,IN13A068_T3_L,IN13A068_T3_L,-1,6457
392,19A,intrinsic neuron,gaba,T2,,IN19A041,IN19A041,RHS,IN19A041_T2_R,IN19A041_T2_R,-1,8099
393,23B,intrinsic neuron,acetylcholine,T2,,IN23B074,IN23B074,RHS,IN23B074_T2_R,IN23B074_T2_R,1,9410
394,21A,intrinsic neuron,glutamate,T1,,IN21A100,IN21A100,RHS,IN21A100_T1_R,IN21A100_T1_R,-1,9110
395,03A,intrinsic neuron,acetylcholine,T2,,IN03A047,IN03A047,RHS,IN03A047_T2_R,IN03A047_T2_R,1,3464
396,,sensory neuron,acetylcholine,,RHS,SNch03,SNch03,,SNch03_ADMN_R,SNch03_ADMN_R,1,11096
397,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A054,IN20A.22A054,RHS,IN20A.22A054_T3_R,IN20A.22A054_T3_R,1,8669
398,03A,intrinsic neuron,acetylcholine,T2,,IN03A004,IN03A004,RHS,IN03A004_T2_R,IN03A004_T2_R,1,3330
399,09B,ascending neuron,acetylcholine,T3,LHS,AN09B019,AN09B019,RHS,AN09B019_T3_R,AN09B019_T3_R,1,685
400,,sensory neuron,glutamate,,LHS,SNta41,SNta41,,SNta41_ProLN_L,SNta41_ProLN_L,1,11496
401,,descending neuron,acetylcholine,,RHS,DNxn036,DNp21,,DNxn036_CvC_R,DNxn036_CvC_R,1,2081
402,13A,intrinsic neuron,gaba,T2,,IN13A059,IN13A059,LHS,IN13A059_T2_L,IN13A059_T2_L,-1,6435
403,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A079,IN20A.22A079,RHS,IN20A.22A079_T3_R,IN20A.22A079_T3_R,1,8743
404,TBD,intrinsic neuron,gaba,T2,,INXXX004,INXXX004,RHS,INXXX004_T2_R,INXXX004_T2_R,-1,9507
405,13A,intrinsic neuron,gaba,T2,,IN13A024,IN13A024,RHS,IN13A024_T2_R,IN13A024_T2_R,-1,6346
406,23B,intrinsic neuron,acetylcholine,T2,,IN23B018,IN23B018,LHS,IN23B018_T2_L,IN23B018_T2_L,1,9188
407,08B,ascending neuron,acetylcholine,T1,LHS,AN08B099,AN08B099,RHS,AN08B099_T1_R,AN08B099_T1_R,1,592
408,03B,intrinsic neuron,gaba,A1,,IN03B091,IN03B091,LHS,IN03B091_A1_L,IN03B091_A1_L,-1,3765
410,,sensory neuron,glutamate,,RHS,SNta20,SNta20,,SNta20_MesoLN_R,SNta20_MesoLN_R,1,11388
412,08B,intrinsic neuron,acetylcholine,T3,,IN08B044,IN08B044,LHS,IN08B044_T3_L,IN08B044_T3_L,1,4996
413,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A066,IN20A.22A066,RHS,IN20A.22A066_T3_R,IN20A.22A066_T3_R,1,8705
414,16B,intrinsic neuron,glutamate,T1,,IN16B114,IN16B114,LHS,IN16B114_T1_L,IN16B114_T1_L,-1,7534
415,,sensory neuron,acetylcholine,,LHS,SNxx33,SNxx33,,SNxx33_MesoLN_L,SNxx33_MesoLN_L,-1,11637
416,07B,intrinsic neuron,acetylcholine,T3,,IN07B103,IN07B103,LHS,IN07B103_T3_L,IN07B103_T3_L,1,4819
417,,sensory neuron,glutamate,,RHS,SNta20,SNta20,,SNta20_MetaLN_R,SNta20_MetaLN_R,-1,11390
418,03A,intrinsic neuron,acetylcholine,T1,,IN03A029,IN03A029,LHS,IN03A029_T1_L,IN03A029_T1_L,1,3415
419,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A085,IN20A.22A085,LHS,IN20A.22A085_T1_L,IN20A.22A085_T1_L,1,8758
420,,sensory neuron,glutamate,,,SNta37,SNta37,,SNta37_MesoLN_R,SNta37_MesoLN_R,1,11473
421,04B,intrinsic neuron,acetylcholine,T2,,IN04B033,IN04B033,LHS,IN04B033_T2_L,IN04B033_T2_L,1,3854
422,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbNT_R,SNxx04_AbNT_R,1,11543
423,09A,intrinsic neuron,gaba,T1,,IN09A069,IN09A069,LHS,IN09A069_T1_L,IN09A069_T1_L,-1,5326
424,03B,intrinsic neuron,glutamate,T2,,IN03B072,IN03B072,LHS,IN03B072_T2_L,IN03B072_T2_L,-1,3727
425,11A,intrinsic neuron,acetylcholine,T2,,IN11A032,IN11A032,RHS,IN11A032_T2_R,IN11A032_T2_R,1,5720
426,06A,intrinsic neuron,glutamate,A1,,IN06A050,IN06A050,RHS,IN06A050_A1_R,IN06A050_A1_R,-1,4278
427,,sensory neuron,acetylcholine,,RHS,SNch09,SNch09,,SNch09_ProLN_R,SNch09_ProLN_R,1,11124
428,11B,intrinsic neuron,gaba,T2,,IN11B017,IN11B017,RHS,IN11B017_T2_R,IN11B017_T2_R,-1,5779
429,05B,intrinsic neuron,gaba,T3,,IN05B033,IN05B033,LHS,IN05B033_T3_L,IN05B033_T3_L,-1,4111
430,19B,intrinsic neuron,acetylcholine,T2,,IN19B043,IN19B043,RHS,IN19B043_T2_R,IN19B043_T2_R,1,8393
431,13A,intrinsic neuron,glutamate,T1,,IN13A051,IN13A051,RHS,IN13A051_T1_R,IN13A051_T1_R,-1,6410
432,07B,intrinsic neuron,acetylcholine,T3,,IN07B098,IN07B098,RHS,IN07B098_T3_R,IN07B098_T3_R,1,4812
433,,sensory neuron,acetylcholine,,LHS,SNxx04,SNxx04,,SNxx04_AbN4_L,SNxx04_AbN4_L,1,11540
434,TBD,ascending neuron,acetylcholine,A1,RHS,ANXXX098,ANXXX098,LHS,ANXXX098_A1_L,ANXXX098_A1_L,1,1291
435,,descending neuron,acetylcholine,,RHS,DNxl095,DNxl095,,DNxl095_CvC_R,DNxl095_CvC_R,1,1931
436,01A,intrinsic neuron,acetylcholine,T1,,IN01A079,IN01A079,RHS,IN01A079_T1_R,IN01A079_T1_R,1,2826
