bodyId,cell_type,side,idx,nt,sign
102544,T4d,right,32896,acetylcholine,1
102546,T3,right,32897,acetylcholine,1
102552,L4,right,32898,acetylcholine,1
102553,Mi9,right,32899,glutamate,-1
102555,T4d,right,32900,acetylcholine,1
102561,T4b,right,32901,acetylcholine,1
102564,T4a,right,32902,acetylcholine,1
102567,L5,right,32903,acetylcholine,1
102572,T4c,right,32904,acetylcholine,1
102578,T4a,right,32905,acetylcholine,1
102579,T4b,right,32906,acetylcholine,1
102580,L5,right,32907,acetylcholine,1
102581,Mi9,right,32908,glutamate,-1
102582,TmY5a,right,32909,glutamate,-1
102584,T4c,right,32910,acetylcholine,1
102585,T4d,right,32911,acetylcholine,1
102586,Tm4,right,32912,acetylcholine,1
102588,T5b,right,32913,acetylcholine,1
102589,Li22,right,32914,glutamate,-1
102594,Tm5a,right,32915,acetylcholine,1
102595,T4d,right,32916,acetylcholine,1
102605,T5c,right,32917,acetylcholine,1
102606,C2,right,32918,gaba,-1
102608,L4,right,32919,acetylcholine,1
102610,Tm6,right,32920,acetylcholine,1
102618,T4d,right,32921,acetylcholine,1
102619,Tm9,right,32922,acetylcholine,1
102620,L3,right,32923,acetylcholine,1
102623,Dm8b,right,32924,glutamate,-1
102625,C3,right,32925,gaba,-1
